Emp ID,Name,Job Titles,Date of Birth,Gender,Basic Salary (LKR),EPF Contribution,Phone Number,Address
E00001,"ALLISON,  PAUL W",LIEUTENANT,12/10/1983,M,"103,861.00",10%,763323600,822 Ridge Oak Park
E00002,"BRUNO,  KEVIN D",SERGEANT,8/18/1972,M,"101,897.00",8%,716967923,307 Rieder Park
E00003,"COOPER,  JOHN E",LIEUTENANT-EMT,9/19/1992,F,"85,097.00",11%,729292021,5 Loomis Road
E00004,"CRESPO,  VILMA I",STAFF ASST,5/18/1974,M,"122,036.00",12%,719968243,8746 Hermina Road
E00005,"DOLAN,  ROBERT J",SERGEANT,11/17/1990,F,"61,401.00",8%,71212642,5 Ridgeview Alley
E00006,"DUBERT,  TOMASZ ",PARAMEDIC I/C,1/2/1993,F,"147,524.00",10%,712857493,42586 Old Gate Terrace
E00007,"EDWARDS,  TIM P",LIEUTENANT,10/1/1983,F,"119,959.00",9%,767691936,71964 Kennedy Pass
E00008,"ELKINS,  ERIC J",SERGEANT,7/14/1980,F,"92,670.00",14%,715283846,2 Chinook Hill
E00009,"ESTRADA,  LUIS F",POLICE OFFICER,7/17/1983,M,"138,209.00",10%,714621192,9 Sauthoff Terrace
E00010,"EWING,  MARIE A",CLERK III,4/9/1977,F,"108,860.00",9%,761574677,020 Briar Crest Drive
E00011,"FINN,  SEAN P",FIREFIGHTER,6/9/1983,M,"134,699.00",10%,711392689,91 Clemons Point
E00012,"FITCH,  JORDAN M",LAW CLERK,1/30/1976,F,"58,519.00",14%,72126941,765 Hallows Pass
E00013,"FREELON,  CHERYL N",POLICE OFFICER,1/14/1971,M,"120,032.00",14%,716496527,61249 Fremont Park
E00014,"GRAFF,  KEVIN M",SERGEANT,2/2/1987,M,"91,254.00",8%,776959626,88 Russell Junction
E00015,"GUNN,  ISSAC J",FIREFIGHTER-EMT,4/21/1971,M,"44,360.00",14%,713384294,27 School Drive
E00016,"HARRIS,  DANIEL J",POLICE OFFICER,9/10/1982,M,"128,979.00",15%,716278390,04803 Schiller Plaza
E00017,"HATTULA,  CARL J",SERGEANT,4/6/1992,F,"147,464.00",14%,772727773,30 Bluejay Alley
E00018,"HILL,  LATINA P",PARAMEDIC,8/9/1994,M,"68,073.00",10%,711470645,7851 North Way
E00019,"HOLLER,  JOEL P",SERGEANT,3/7/1994,M,"123,732.00",15%,764442237,28811 Northridge Parkway
E00020,"HROMA JR,  JOHN ",SERGEANT,12/3/1970,F,"97,850.00",12%,762660346,148 Rieder Junction
E00021,"JACKSON,  ERIC ",SERGEANT,6/5/1973,M,"120,849.00",9%,713656961,903 Northland Point
E00022,"JOYCE,  SEAN G",CAPTAIN,6/2/1984,F,"88,146.00",14%,711780572,41 Upham Terrace
E00023,"KING,  WARSHAW ",CAPTAIN-EMT,6/8/1990,M,"70,852.00",8%,762251997,0 Union Crossing
